Close,High,Low,Open,Volume,Return,SMA_10,SMA_50,Volatility,Action,RTG
246.1228485107422,248.0968060321082,227.11439811378423,240.42944286501015,329566100,5.721830879897554,-1.922723072124674,-1.3361456887881664,3.3903939244126278,0,17.07771031089465
219.19114685058594,234.7725780910604,216.91561153342053,220.4065784730682,297240000,-7.445628561724161,-2.041859470522463,-1.3654150259542914,3.9778825440622594,0,10.798804091859198
231.0257568359375,234.10550046036911,216.65062185131984,223.93413457519435,262070500,3.594198344276277,-2.123485984594915,-1.3893792520370967,4.2490849349850945,0,17.814145166364643
219.3282470703125,226.97731522464503,208.38011597518343,215.90124320983887,327597100,-3.4739167906060247,-2.2488508506822567,-1.41817354383621,4.304165162573323,0,10.272034979539356
219.79429626464844,226.07257629627384,212.21833983048688,218.6428280834812,289322000,0.09022109840006136,-2.355443781269145,-1.4464790176717286,4.314680871429615,0,14.501662853815938
210.3224334716797,224.72694441324552,210.04665824854578,222.94361386702494,347158800,-2.9646273664543323,-2.4712671826649935,-1.478944758373733,4.354034730788368,0,14.988785286891307
204.9448699951172,211.13136077030381,200.63362552870024,209.761700043424,326025200,-1.7806288298235793,-2.5572452840255266,-1.5141936442398753,4.343161532816231,0,19.200396281822428
223.51356506347656,224.38685570948732,214.91866545634184,215.48859069772814,235494500,6.067524280699699,-2.6326780353146706,-1.542123889544632,4.922905461218004,0,20.64708201831135
226.85958862304688,235.6475485646317,220.38813506232896,225.0946467428511,299430300,0.9580002859655231,-2.677618705480511,-1.56956483404017,4.9536808541345705,0,14.552242779144013
240.10592651367188,241.57669068866082,228.93713222179323,229.36917691277907,257632800,3.8913013144429915,-2.652452821942848,-1.5918435610160135,5.101068119041491,0,13.154823841340546
232.95420837402344,239.74740334734355,230.77561023510842,232.81632774238852,224341200,-2.065548144924272,-2.677246719449006,-1.6170711699161207,5.131664318872078,0,9.643581771814015
240.51951599121094,241.2365231887897,233.05528002333395,235.05003225521446,171369500,2.140605263856661,-2.6370896954164595,-1.6403887220055553,5.08327555309604,0,11.966806239824715
236.93447875976562,242.06383359967347,235.52804049293425,239.5175449357564,194881100,-1.0602866674006903,-2.6259647619190907,-1.6654113571904976,5.061231294137036,0,8.049594729396814
226.271240234375,236.8517165673258,224.2029473107463,227.95345349544075,189554600,-3.0937140872795066,-2.6128925039555875,-1.6942272160941088,5.004166889525121,0,9.780801303504393
231.4925994873047,232.27394638304975,224.83728566556516,225.38883620204277,177660400,1.5055835787669287,-2.5908669547654513,-1.721089889726214,5.024786157558191,0,11.216614256835813
228.1465301513672,232.86224312191504,225.41638201331432,230.50897330571124,135561200,-1.0298142654312492,-2.5573077700943037,-1.7493438600286022,5.023010454978376,0,10.650615550845398
243.47024536132812,245.4374352742941,228.12811933562622,237.01718131949536,188061200,4.484183451001607,-2.4847722464336113,-1.7708096589163524,4.993521302452795,0,12.492466442545304
243.7184600830078,252.8189437055567,243.49785113917028,252.06515907675276,201427200,0.015543597026366419,-2.44673049792838,-1.790367683013816,4.847686672511771,0,8.428187012902855
251.89967346191406,253.71057980948646,243.8287365741532,246.31987245584386,153774500,2.2144298835564022,-2.399585060693046,-1.808010798851728,4.7843042776355995,0,8.731349514673196
255.7329559326172,258.4906799949257,253.2234169368293,255.16300272853678,189999200,0.9747126182639717,-2.370162511233387,-1.824116902108102,4.230427962387689,0,7.506472951997353
253.39813232421875,255.09873482436922,249.49135568607434,254.75861993494436,114839100,-0.6701162179219897,-2.3316707193868265,-1.8414674652318805,3.848967517818011,0,5.781673726640738
260.87158203125,261.89192674380104,253.260262690421,258.2885153744186,134143400,1.9391111152294453,-2.29335187748695,-1.8539543473869273,2.9765422297239703,0,6.9151769551977
255.32847595214844,261.0093805310118,253.21420410146158,255.15381785852156,121775000,-1.4887993410325533,-2.2587196849156874,-1.8693521506032016,2.8763911158456725,0,4.538130083900065
256.560302734375,257.4151905782351,253.49003955687044,256.6062535871755,131798300,0.27259583595693393,-2.2016914797718155,-1.8859865846899921,2.6132149659024617,0,6.663404455215784
263.4913330078125,264.098007563754,259.5937309187142,262.3330800222529,146684800,1.7717257514836153,-2.1414443083860513,-1.9013182093150927,2.635342375912874,0,5.752496719113669
258.8492736816406,263.6293418674101,258.6286646448618,259.78689014098177,100109300,-1.2435077337890528,-2.0836372251683346,-1.9187841725427897,2.463309829174812,0,4.802923470380477
250.9897003173828,255.5859076947366,250.05205605846757,254.38170360611178,126385700,-2.1045846309349403,-2.0694796057370963,-1.938598162302113,2.494748139587598,0,6.613740465415144
256.560302734375,258.30685593614993,254.5471616484955,255.87087162422512,92951600,1.4460582076762456,-2.0453010020861084,-1.9571673817932724,1.9070549314827228,0,8.442511243363768
256.5419006347656,261.00942882801934,256.2385632888214,257.83803449166567,104709700,-0.05817503028228239,-2.03656062316095,-1.9759431787368442,1.905630518168462,0,7.138966214445434
260.11773681640625,260.7887931290741,256.00872668784143,258.0586450832086,85063200,0.8883150506964942,-2.0283049637541373,-1.9941155681037706,1.6250434622768477,0,7.689780971314387
263.8682556152344,264.98973134296574,261.6345055515394,262.09412629154366,77896600,0.9207380380165328,-2.008591830047154,-2.0107511403266733,1.4973742842325477,2,6.8918482265081975
262.65484619140625,267.86692903854635,262.3514808302591,267.51761283020494,105270000,-0.36399127538278797,-2.0052343027433257,-2.0280297019709903,1.427708607130435,2,6.3023192573661335
269.5307922363281,271.06593788395355,266.9569272587203,267.98647324976343,118745600,1.7152098307936265,-1.9784942012108877,-2.042418536028035,1.426602052111352,2,5.8069191875770585
267.0212707519531,269.63191314520935,265.2838909183048,268.1519197995434,122901700,-0.6823288061188355,-1.9587983050401188,-2.0583069736271526,1.1256153033085101,2,3.6032856452280426
259.9523010253906,267.18672684650835,258.78484641412496,262.26877941171466,125180000,-1.8417841032536857,-1.9654615895806786,-2.0763798738030737,1.2377101646347517,2,4.7249519978511065
260.6693115234375,260.9726488665371,256.58787713450204,258.06784244223917,80873200,0.1330077271505712,-1.9620348248397226,-2.092988073277677,1.184942984286891,2,6.084921555354367
263.0776672363281,265.8905433416998,260.797938736248,263.49133703836077,79569900,0.5708340882873706,-1.9392756173790775,-2.104881423198702,0.6590602969931593,2,6.729466904315892
261.2943420410156,265.1643400964349,260.86229750373474,264.77827445640764,73632600,-0.5112754125394193,-1.9303623746949155,-2.1140831386974894,0.6753669021625276,2,5.864260060721423
264.44732666015625,266.3777389730855,263.9417551736114,264.511680282958,75250400,0.7618618088883388,-1.915478049466108,-2.1217011665378402,0.5402294455555676,2,6.856059931191842
268.82293701171875,269.29175906737254,266.45127866866704,267.5819556045888,76452400,1.0644783304931924,-1.8990879105320693,-2.1228546272497795,0.5460319728855372,2,6.5105208442411175
268.8780822753906,270.25694423577727,266.4696745397316,266.8925176860717,79514200,-0.03947116486428941,-1.8896554157986778,-2.123556949201212,0.5233439710072076,2,5.653667782104999
263.5189208984375,270.4775563533977,263.38101225836226,270.0639145922281,95870800,-1.3998379605375146,-1.8880285371307686,-2.13069505148486,0.4751794856715609,2,6.059394542235801
258.8584289550781,263.9969859100772,256.43161777077114,262.95823845859854,144721100,-1.248108580300011,-1.9081224480127272,-2.136542047565016,0.4504994080490287,2,7.857477461321098
261.9562683105469,262.08494754129237,250.94374432958452,256.42244422191715,121977900,0.7551411837261341,-1.9176588276310376,-2.1455666621870484,0.4686254428404651,2,9.100772226464482
263.16046142578125,263.2064122806066,258.6194060692483,259.5662237134552,111146300,0.2572230363161798,-1.9116185076492644,-2.1505573085620058,0.3486139890227306,2,8.494220471285272
